HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,GroupId,GroupSize,IsAlone,Deck,CabinNum,Side,TotalSpend,SpendPerAmenity,HasSpent,LogTotalSpend,LogRoomService,LogFoodCourt,LogShoppingMall,LogSpa,LogVRDeck,AgeBin,Transported
1,0,2,39.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,2,24.0,0,109.0,9.0,25.0,549.0,44.0,2,1,1,5,0.0,1,736.0,147.2,1,6.602587892189336,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,0,1
1,0,2,58.0,1,43.0,3576.0,0.0,6715.0,49.0,3,2,0,0,0.0,1,10383.0,2076.6,1,9.248021438943871,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,0,0
1,0,2,33.0,0,0.0,1283.0,371.0,3329.0,193.0,3,2,0,0,0.0,1,5176.0,1035.2,1,8.551981016901902,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,0,0
0,0,2,16.0,0,303.0,70.0,151.0,565.0,2.0,4,1,1,5,1.0,1,1091.0,218.2,1,6.9957661563048505,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,4,1
0,0,1,44.0,0,0.0,483.0,0.0,291.0,0.0,5,1,1,5,0.0,0,774.0,154.8,1,6.652863029353347,0.0,6.182084906716632,0.0,5.676753802268282,0.0,0,1
0,0,2,26.0,0,42.0,1539.0,3.0,0.0,0.0,6,2,0,5,2.0,1,1584.0,316.8,1,7.368339686311381,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,0,1
0,1,2,28.0,0,0.0,0.0,0.0,0.0,0.0,6,2,0,6,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,0,2,35.0,0,0.0,785.0,17.0,216.0,0.0,7,1,1,5,3.0,1,1018.0,203.6,1,6.926577033222725,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,0,1
1,1,0,14.0,0,0.0,0.0,0.0,0.0,0.0,8,3,0,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,1
